id,username,email,phone,tier_rule_id,tier_code,point_balance,lifetime_spend,wash_count,created_at
112,binh1027,binh1027@fake.autowash.test,0968561732,1,MEMBER,6,60000.00,2,1706364197
113,khoa1028,khoa1028@fake.autowash.test,0354699076,1,MEMBER,14,140000.00,4,1719025747
114,anh1029,anh1029@fake.autowash.test,0983646799,1,MEMBER,40,400000.00,7,1716577272
115,tien1030,tien1030@fake.autowash.test,0389133051,1,MEMBER,17,170000.00,4,1714087277
116,duy1031,duy1031@fake.autowash.test,0864462466,2,SILVER,138,1380000.00,23,1692566936
117,tung1032,tung1032@fake.autowash.test,0387746047,1,MEMBER,9,90000.00,3,1691358859
118,huy1033,huy1033@fake.autowash.test,0393099235,2,SILVER,54,540000.00,10,1722990244
119,quan1034,quan1034@fake.autowash.test,0387472220,2,SILVER,99,990000.00,16,1701366072
120,lan1035,lan1035@fake.autowash.test,0867626833,2,SILVER,129,1290000.00,23,1690095093
121,khoa1036,khoa1036@fake.autowash.test,0968702136,1,MEMBER,16,160000.00,3,1730742061
122,nhung1037,nhung1037@fake.autowash.test,0364707932,1,MEMBER,11,110000.00,2,1705561335
123,duy1038,duy1038@fake.autowash.test,0962571180,3,GOLD,220,2200000.00,35,1711039915
124,lan1039,lan1039@fake.autowash.test,0973641794,1,MEMBER,19,190000.00,5,1731075402
125,minh1040,minh1040@fake.autowash.test,0388177786,1,MEMBER,49,490000.00,10,1715796251
126,long1041,long1041@fake.autowash.test,0869881305,2,SILVER,55,550000.00,11,1708662580
127,dung1042,dung1042@fake.autowash.test,0971672597,1,MEMBER,8,80000.00,2,1732762688
128,huong1043,huong1043@fake.autowash.test,0355130592,2,SILVER,120,1200000.00,19,1687706757
129,huong1044,huong1044@fake.autowash.test,0897176045,1,MEMBER,24,240000.00,5,1689079171
130,trung1045,trung1045@fake.autowash.test,0374719317,2,SILVER,55,550000.00,11,1710986973
131,phat1046,phat1046@fake.autowash.test,0351559411,1,MEMBER,16,160000.00,4,1703690601
132,thanh1047,thanh1047@fake.autowash.test,0863893503,1,MEMBER,49,490000.00,10,1688962861
133,viet1048,viet1048@fake.autowash.test,0398600668,2,SILVER,54,540000.00,11,1694650115
134,tien1049,tien1049@fake.autowash.test,0355201881,1,MEMBER,14,140000.00,4,1725832740
135,son1050,son1050@fake.autowash.test,0346593556,3,GOLD,219,2190000.00,32,1702503665
136,huy1051,huy1051@fake.autowash.test,0324457976,1,MEMBER,16,160000.00,4,1730731662
137,duc1052,duc1052@fake.autowash.test,0337477887,1,MEMBER,3,30000.00,1,1711953482
138,phat1053,phat1053@fake.autowash.test,0375408202,1,MEMBER,19,190000.00,5,1708329322
139,anh1054,anh1054@fake.autowash.test,0362923259,1,MEMBER,36,360000.00,7,1690015232
140,huy1055,huy1055@fake.autowash.test,0385699761,3,GOLD,238,2380000.00,34,1726622968
141,tuan1056,tuan1056@fake.autowash.test,0897596283,2,SILVER,138,1380000.00,22,1731638382
142,tung1057,tung1057@fake.autowash.test,0988141509,1,MEMBER,11,110000.00,3,1725630588
143,nam1058,nam1058@fake.autowash.test,0964239409,2,SILVER,146,1460000.00,24,1723131420
144,khoa1059,khoa1059@fake.autowash.test,0963692105,1,MEMBER,46,460000.00,10,1707639609
145,khoa1060,khoa1060@fake.autowash.test,0337382799,1,MEMBER,8,80000.00,2,1725837804
146,trung1061,trung1061@fake.autowash.test,0332053911,3,GOLD,156,1560000.00,25,1722241161
147,tuan1062,tuan1062@fake.autowash.test,0974535900,1,MEMBER,9,90000.00,3,1727774412
148,long1063,long1063@fake.autowash.test,0336304662,3,GOLD,225,2250000.00,32,1685743036
149,quan1064,quan1064@fake.autowash.test,0394787049,3,GOLD,287,2870000.00,41,1731038464
150,phat1065,phat1065@fake.autowash.test,0335601302,2,SILVER,89,890000.00,14,1689139205
151,dung1066,dung1066@fake.autowash.test,0973751195,1,MEMBER,27,270000.00,6,1722027644
152,trang1067,trang1067@fake.autowash.test,0384952223,1,MEMBER,47,470000.00,8,1698683440
153,duc1068,duc1068@fake.autowash.test,0972461070,2,SILVER,111,1110000.00,19,1719157569
154,duc1069,duc1069@fake.autowash.test,0391145818,2,SILVER,121,1210000.00,17,1696872657
155,dung1070,dung1070@fake.autowash.test,0392868699,1,MEMBER,29,290000.00,5,1707413328
156,duc1071,duc1071@fake.autowash.test,0989939844,1,MEMBER,21,210000.00,5,1698614058
157,huong1072,huong1072@fake.autowash.test,0963387261,1,MEMBER,9,90000.00,3,1709273582
158,linh1073,linh1073@fake.autowash.test,0862300885,1,MEMBER,11,110000.00,3,1716411090
159,viet1074,viet1074@fake.autowash.test,0965618256,1,MEMBER,6,60000.00,2,1705690088
160,nam1075,nam1075@fake.autowash.test,0379933508,1,MEMBER,42,420000.00,9,1718684882
161,long1076,long1076@fake.autowash.test,0323834008,1,MEMBER,25,250000.00,7,1695551940
162,nhung1077,nhung1077@fake.autowash.test,0378664251,2,SILVER,64,640000.00,12,1726015302
163,mai1078,mai1078@fake.autowash.test,0348703034,1,MEMBER,11,110000.00,3,1706087980
164,mai1079,mai1079@fake.autowash.test,0976283541,2,SILVER,66,660000.00,14,1711648970
165,trang1080,trang1080@fake.autowash.test,0868667802,2,SILVER,125,1250000.00,20,1685901666
166,viet1081,viet1081@fake.autowash.test,0387243114,1,MEMBER,8,80000.00,2,1699178417
167,phat1082,phat1082@fake.autowash.test,0333227697,3,GOLD,167,1670000.00,25,1685583640
168,phat1083,phat1083@fake.autowash.test,0322334731,1,MEMBER,6,60000.00,2,1690172702
169,phat1084,phat1084@fake.autowash.test,0967387058,1,MEMBER,41,410000.00,9,1692857634
170,nhung1085,nhung1085@fake.autowash.test,0966069528,1,MEMBER,3,30000.00,1,1727193839
171,trung1086,trung1086@fake.autowash.test,0365393596,1,MEMBER,11,110000.00,2,1721026563
172,quan1087,quan1087@fake.autowash.test,0361380418,1,MEMBER,11,110000.00,3,1689855509
173,duy1088,duy1088@fake.autowash.test,0367064406,4,PLATINUM,307,3070000.00,42,1702031331
174,nam1089,nam1089@fake.autowash.test,0333601329,1,MEMBER,13,130000.00,2,1721860612
175,ha1090,ha1090@fake.autowash.test,0345380004,1,MEMBER,3,30000.00,1,1731608337
176,duy1091,duy1091@fake.autowash.test,0981216710,1,MEMBER,12,120000.00,4,1720436274
177,quan1092,quan1092@fake.autowash.test,0972532359,2,SILVER,149,1490000.00,24,1721185357
178,linh1093,linh1093@fake.autowash.test,0336309125,2,SILVER,94,940000.00,16,1697014738
179,quan1094,quan1094@fake.autowash.test,0863032285,1,MEMBER,48,480000.00,9,1726952015
180,thanh1095,thanh1095@fake.autowash.test,0328434699,1,MEMBER,45,450000.00,8,1700889026
181,thao1096,thao1096@fake.autowash.test,0385794964,1,MEMBER,13,130000.00,3,1704770567
182,quan1097,quan1097@fake.autowash.test,0348948018,1,MEMBER,38,380000.00,8,1732260349
183,tien1098,tien1098@fake.autowash.test,0344706625,1,MEMBER,47,470000.00,9,1729058325
184,khanh1099,khanh1099@fake.autowash.test,0359193892,1,MEMBER,11,110000.00,3,1697284960
185,huy1100,huy1100@fake.autowash.test,0323370890,2,SILVER,71,710000.00,13,1708214365
186,binh1101,binh1101@fake.autowash.test,0894491819,2,SILVER,51,510000.00,11,1721385149
187,dung1102,dung1102@fake.autowash.test,0964826343,4,PLATINUM,316,3160000.00,45,1693393728
188,thu1103,thu1103@fake.autowash.test,0356488986,1,MEMBER,22,220000.00,5,1696189961
189,khoa1104,khoa1104@fake.autowash.test,0373212465,2,SILVER,113,1130000.00,17,1716151544
190,duy1105,duy1105@fake.autowash.test,0867474885,2,SILVER,56,560000.00,12,1699122491
191,mai1106,mai1106@fake.autowash.test,0362094396,1,MEMBER,44,440000.00,9,1708387568
192,linh1107,linh1107@fake.autowash.test,0897950344,3,GOLD,172,1720000.00,27,1731880568
193,duc1108,duc1108@fake.autowash.test,0376429731,2,SILVER,53,530000.00,12,1726782711
194,nam1109,nam1109@fake.autowash.test,0376979520,1,MEMBER,12,120000.00,4,1688269109
195,duc1110,duc1110@fake.autowash.test,0398503869,3,GOLD,177,1770000.00,28,1688203303
196,nhung1111,nhung1111@fake.autowash.test,0987759198,2,SILVER,81,810000.00,15,1686762177
197,huong1112,huong1112@fake.autowash.test,0335724768,1,MEMBER,11,110000.00,3,1691525993
198,quan1113,quan1113@fake.autowash.test,0375022712,2,SILVER,56,560000.00,9,1692046307
199,nam1114,nam1114@fake.autowash.test,0987984317,3,GOLD,153,1530000.00,26,1717697749
200,son1115,son1115@fake.autowash.test,0322230523,2,SILVER,50,500000.00,12,1723549142
201,nhung1116,nhung1116@fake.autowash.test,0383930546,3,GOLD,296,2960000.00,40,1727663347
202,phat1117,phat1117@fake.autowash.test,0369263681,1,MEMBER,42,420000.00,9,1712430000
203,huy1118,huy1118@fake.autowash.test,0391434458,3,GOLD,246,2460000.00,35,1691657160
204,phat1119,phat1119@fake.autowash.test,0964065786,2,SILVER,119,1190000.00,22,1696262845
205,duc1120,duc1120@fake.autowash.test,0376122049,1,MEMBER,6,60000.00,2,1701388499
206,duy1121,duy1121@fake.autowash.test,0366754821,1,MEMBER,23,230000.00,7,1692598069
207,quan1122,quan1122@fake.autowash.test,0986926161,1,MEMBER,8,80000.00,2,1720713654
208,huy1123,huy1123@fake.autowash.test,0982754119,1,MEMBER,25,250000.00,5,1700407896
209,khoa1124,khoa1124@fake.autowash.test,0966480916,1,MEMBER,10,100000.00,2,1716224832
210,huong1125,huong1125@fake.autowash.test,0977027931,2,SILVER,71,710000.00,13,1692241039
211,minh1126,minh1126@fake.autowash.test,0863056613,1,MEMBER,31,310000.00,6,1718413106
212,ngan1127,ngan1127@fake.autowash.test,0394059199,1,MEMBER,34,340000.00,7,1731580246
213,duy1128,duy1128@fake.autowash.test,0968967249,1,MEMBER,14,140000.00,4,1707570378
214,tung1129,tung1129@fake.autowash.test,0978180906,1,MEMBER,35,350000.00,6,1717727604
215,lan1130,lan1130@fake.autowash.test,0346694175,1,MEMBER,8,80000.00,2,1709602133
216,viet1131,viet1131@fake.autowash.test,0398550312,2,SILVER,93,930000.00,16,1687500437
217,quan1132,quan1132@fake.autowash.test,0389709366,1,MEMBER,9,90000.00,3,1705853801
218,anh1133,anh1133@fake.autowash.test,0868064912,4,PLATINUM,320,3200000.00,45,1726857250
219,son1134,son1134@fake.autowash.test,0893832461,2,SILVER,122,1220000.00,19,1732257411
220,duy1135,duy1135@fake.autowash.test,0332704478,1,MEMBER,6,60000.00,2,1687214409
221,duc1136,duc1136@fake.autowash.test,0972626999,3,GOLD,296,2960000.00,41,1712267075
222,dung1137,dung1137@fake.autowash.test,0894470802,1,MEMBER,9,90000.00,3,1706248042
223,thanh1138,thanh1138@fake.autowash.test,0321187864,2,SILVER,132,1320000.00,23,1709043450
224,tuan1139,tuan1139@fake.autowash.test,0361008416,3,GOLD,197,1970000.00,30,1727667548
225,lan1140,lan1140@fake.autowash.test,0337280490,1,MEMBER,46,460000.00,10,1709702263
226,linh1141,linh1141@fake.autowash.test,0395307375,3,GOLD,160,1600000.00,27,1692941201
227,quan1142,quan1142@fake.autowash.test,0899424321,1,MEMBER,22,220000.00,6,1688172207
228,nhung1143,nhung1143@fake.autowash.test,0331364399,1,MEMBER,5,50000.00,1,1700680725
229,minh1144,minh1144@fake.autowash.test,0369799189,2,SILVER,59,590000.00,10,1692330813
230,trung1145,trung1145@fake.autowash.test,0893255502,1,MEMBER,5,50000.00,1,1712010751
231,huong1146,huong1146@fake.autowash.test,0869815963,3,GOLD,248,2480000.00,36,1691806236
232,tuan1147,tuan1147@fake.autowash.test,0863822679,1,MEMBER,16,160000.00,4,1691793267
233,thu1148,thu1148@fake.autowash.test,0368280891,1,MEMBER,16,160000.00,3,1721194133
234,dung1149,dung1149@fake.autowash.test,0346101246,1,MEMBER,17,170000.00,5,1687911799
235,trang1150,trang1150@fake.autowash.test,0361100904,1,MEMBER,5,50000.00,1,1721058162
236,ngan1151,ngan1151@fake.autowash.test,0327657702,2,SILVER,110,1100000.00,19,1692204324
237,nhung1152,nhung1152@fake.autowash.test,0869922840,3,GOLD,154,1540000.00,25,1704471386
238,trang1153,trang1153@fake.autowash.test,0338678343,2,SILVER,60,600000.00,12,1689739391
239,thao1154,thao1154@fake.autowash.test,0322190256,2,SILVER,68,680000.00,11,1708544531
240,ngan1155,ngan1155@fake.autowash.test,0898214804,1,MEMBER,8,80000.00,1,1717773803
241,thu1156,thu1156@fake.autowash.test,0388583909,2,SILVER,93,930000.00,15,1712215136
242,khoa1157,khoa1157@fake.autowash.test,0376441394,1,MEMBER,6,60000.00,2,1705467517
243,tuan1158,tuan1158@fake.autowash.test,0976508545,1,MEMBER,13,130000.00,3,1706005505
244,anh1159,anh1159@fake.autowash.test,0379268415,3,GOLD,199,1990000.00,29,1695462844
245,phat1160,phat1160@fake.autowash.test,0969205923,1,MEMBER,6,60000.00,2,1710511505
246,huy1161,huy1161@fake.autowash.test,0971289313,2,SILVER,89,890000.00,14,1721192479
247,son1162,son1162@fake.autowash.test,0976897970,2,SILVER,72,720000.00,14,1712303187
248,thao1163,thao1163@fake.autowash.test,0865258093,1,MEMBER,29,290000.00,7,1731325521
249,anh1164,anh1164@fake.autowash.test,0367564898,2,SILVER,87,870000.00,15,1700100914
250,khanh1165,khanh1165@fake.autowash.test,0397782564,1,MEMBER,16,160000.00,4,1697595614
251,huy1166,huy1166@fake.autowash.test,0334433676,1,MEMBER,10,100000.00,2,1711804020
252,son1167,son1167@fake.autowash.test,0392933264,1,MEMBER,26,260000.00,5,1699857943
253,quan1168,quan1168@fake.autowash.test,0896932222,3,GOLD,288,2880000.00,41,1707880753
254,lan1169,lan1169@fake.autowash.test,0982791571,1,MEMBER,21,210000.00,5,1701202328
255,huy1170,huy1170@fake.autowash.test,0391426694,1,MEMBER,21,210000.00,5,1706211118
256,lan1171,lan1171@fake.autowash.test,0386996554,2,SILVER,142,1420000.00,24,1703017282
257,minh1172,minh1172@fake.autowash.test,0373341997,2,SILVER,121,1210000.00,20,1706195918
258,thu1173,thu1173@fake.autowash.test,0353379396,2,SILVER,61,610000.00,12,1694572812
259,lan1174,lan1174@fake.autowash.test,0354168046,3,GOLD,150,1500000.00,24,1731548079
260,tien1175,tien1175@fake.autowash.test,0381026909,2,SILVER,52,520000.00,10,1722431968
261,long1176,long1176@fake.autowash.test,0893817139,2,SILVER,52,520000.00,9,1699223575
262,ha1177,ha1177@fake.autowash.test,0898756667,1,MEMBER,24,240000.00,5,1729348489
263,trang1178,trang1178@fake.autowash.test,0341182157,2,SILVER,107,1070000.00,18,1717695911
264,khanh1179,khanh1179@fake.autowash.test,0982015235,2,SILVER,111,1110000.00,15,1688476379
265,thu1180,thu1180@fake.autowash.test,0345257523,1,MEMBER,8,80000.00,2,1728656679
266,huy1181,huy1181@fake.autowash.test,0392826093,1,MEMBER,22,220000.00,5,1731099965
267,linh1182,linh1182@fake.autowash.test,0325290831,4,PLATINUM,315,3150000.00,45,1728684697
268,linh1183,linh1183@fake.autowash.test,0326389617,2,SILVER,109,1090000.00,20,1697697399
269,trung1184,trung1184@fake.autowash.test,0386729494,1,MEMBER,17,170000.00,5,1715558087
270,minh1185,minh1185@fake.autowash.test,0379207075,1,MEMBER,11,110000.00,3,1700907453
271,thao1186,thao1186@fake.autowash.test,0349580960,3,GOLD,195,1950000.00,30,1693879866
272,trung1187,trung1187@fake.autowash.test,0389354555,1,MEMBER,13,130000.00,3,1691308622
273,linh1188,linh1188@fake.autowash.test,0343052982,2,SILVER,68,680000.00,13,1710512659
274,thu1189,thu1189@fake.autowash.test,0892141463,3,GOLD,191,1910000.00,28,1731900406
275,binh1190,binh1190@fake.autowash.test,0373090334,1,MEMBER,10,100000.00,2,1731454449
276,khanh1191,khanh1191@fake.autowash.test,0377629202,1,MEMBER,33,330000.00,6,1721860277
277,ha1192,ha1192@fake.autowash.test,0394438520,2,SILVER,96,960000.00,16,1695920459
278,anh1193,anh1193@fake.autowash.test,0976769502,3,GOLD,280,2800000.00,41,1716011830
279,linh1194,linh1194@fake.autowash.test,0393505088,1,MEMBER,6,60000.00,2,1721359710
280,nam1195,nam1195@fake.autowash.test,0969323837,1,MEMBER,13,130000.00,3,1730780613
281,viet1196,viet1196@fake.autowash.test,0899549043,1,MEMBER,14,140000.00,4,1722223343
282,thu1197,thu1197@fake.autowash.test,0962356866,1,MEMBER,19,190000.00,5,1726312772
283,thanh1198,thanh1198@fake.autowash.test,0343421087,2,SILVER,53,530000.00,11,1704142203
284,anh1199,anh1199@fake.autowash.test,0979963999,3,GOLD,157,1570000.00,24,1698259237
285,anh1200,anh1200@fake.autowash.test,0978929509,2,SILVER,51,510000.00,11,1717959785
286,phat1201,phat1201@fake.autowash.test,0326662985,1,MEMBER,3,30000.00,1,1723960912
287,trung1202,trung1202@fake.autowash.test,0363584139,1,MEMBER,6,60000.00,2,1702439764
288,dung1203,dung1203@fake.autowash.test,0969383670,2,SILVER,111,1110000.00,19,1727319437
289,ha1204,ha1204@fake.autowash.test,0896383431,1,MEMBER,11,110000.00,2,1715959279
